game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,white_title,black_title,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name
972671be-6ea4-4235-8667-2f8afede4bba,1,Live Chess,Chess.com,2024.08.05,-,ballloverpgo,brxthhh,1/2-1/2,418,,887,,,,draw,,draw,,0,C45,Game drawn by stalemate,600,2024.08.05,03:30:02,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
25f86cde-c5cb-4228-afec-a42ddcf56d11,2,Live Chess,Chess.com,2024.08.05,-,ballloverpgo,krisz0927,0-1,386,,439,,,,krisz0927,439,ballloverpgo,386,53,C40,krisz0927 won - game abandoned,600,2024.08.05,07:45:20,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
e098136b-39fd-402b-b191-226c64ca4196,3,Live Chess,Chess.com,2024.08.06,-,ballloverpgo,brxthhh,1-0,431,,800,,,,ballloverpgo,431,brxthhh,800,-369,C40,ballloverpgo won on time,600,2024.08.06,03:36:00,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
07476af9-01db-4f6d-83d2-d8687834cd90,4,Live Chess,Chess.com,2024.08.08,-,ballloverpgo,brxthhh,0-1,403,,795,,,,brxthhh,795,ballloverpgo,403,392,B01,brxthhh won by checkmate,600,2024.08.08,03:45:21,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
71a92c4a-24ad-4a31-852e-30892133794c,5,Live Chess,Chess.com,2024.08.08,-,ballloverpgo,brxthhh,0-1,399,,829,,,,brxthhh,829,ballloverpgo,399,430,C45,brxthhh won - game abandoned,600,2024.08.08,05:28:05,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
d061040a-ce3c-462a-bfbc-140a6e53609a,6,Live Chess,Chess.com,2024.08.08,-,ballloverpgo,brxthhh,1-0,436,,787,,,,ballloverpgo,436,brxthhh,787,-351,C22,ballloverpgo won by checkmate,600,2024.08.08,07:03:09,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
da769248-037a-4a49-a4b8-f22aa018f008,7,Live Chess,Chess.com,2024.08.08,-,ballloverpgo,brxthhh,0-1,431,,793,,,,brxthhh,793,ballloverpgo,431,362,B02,brxthhh won by checkmate,600,2024.08.08,08:58:33,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
83c379d9-300a-4b04-9a48-724e00b36408,8,Live Chess,Chess.com,2024.08.08,-,ballloverpgo,brxthhh,1/2-1/2,481,,736,,,,draw,,draw,,0,A00,Game drawn by stalemate,600,2024.08.08,09:25:54,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
6c9aa6d2-8fd0-4e16-a3cc-6298fd502e4c,9,Live Chess,Chess.com,2024.08.08,-,ballloverpgo,username_is_pawn,1-0,482,,485,,,,ballloverpgo,482,username_is_pawn,485,-3,B00,ballloverpgo won on time,600,2024.08.08,10:58:52,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
cb385c0c-9195-4d02-99ef-7ece69ded92b,10,Live Chess,Chess.com,2024.08.09,-,ballloverpgo,vusonw,0-1,464,,482,,,,vusonw,482,ballloverpgo,464,18,B02,vusonw won - game abandoned,600,2024.08.09,01:37:24,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
65b3aa56-4c84-4c77-b28f-76428f6f2e0b,11,Live Chess,Chess.com,2024.08.09,-,ballloverpgo,brxthhh,0-1,508,,688,,,,brxthhh,688,ballloverpgo,508,180,B00,brxthhh won by checkmate,600,2024.08.09,09:32:13,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
76a48501-53a1-4bf6-900a-7a37aaa6a6de,12,Live Chess,Chess.com,2024.08.11,-,ballloverpgo,eeeinggimoring,0-1,502,,548,,,,eeeinggimoring,548,ballloverpgo,502,46,C22,eeeinggimoring won by resignation,600,2024.08.11,07:26:05,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
eab71ef3-343f-4836-af66-547e0a42b8bf,13,Live Chess,Chess.com,2024.08.11,-,ballloverpgo,mahdi_l0,1-0,477,,477,,,,ballloverpgo,477,mahdi_l0,477,0,B00,ballloverpgo won by resignation,600,2024.08.11,09:49:11,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
08917589-fc55-416b-b882-bfa3653bff77,14,Live Chess,Chess.com,2024.08.11,-,ballloverpgo,vijaybhai1234,0-1,464,,463,,,,vijaybhai1234,463,ballloverpgo,464,-1,C22,vijaybhai1234 won by checkmate,600,2024.08.11,09:54:21,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
c9397c85-a808-45de-b455-2a2fd84ac414,15,Live Chess,Chess.com,2024.08.11,-,ballloverpgo,GOCI1,0-1,440,,450,,,,GOCI1,450,ballloverpgo,440,10,B07,GOCI1 won - game abandoned,600,2024.08.11,11:06:53,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
e7c1b029-02ad-4178-bb8f-42cadee255f7,16,Live Chess,Chess.com,2024.08.11,-,ballloverpgo,the12561812,1/2-1/2,460,,439,,,,draw,,draw,,0,B02,Game drawn by agreement,600,2024.08.11,11:41:28,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
cce6b57d-a768-4072-b710-8c8f9fdc162b,17,Live Chess,Chess.com,2024.08.11,-,ballloverpgo,ITX-AWAIS,1-0,479,,461,,,,ballloverpgo,479,ITX-AWAIS,461,18,C21,ballloverpgo won by checkmate,600,2024.08.11,15:50:57,,,2024-08-16T10:41:29+0000,ballloverpgo-white.pgn
